postal_code,count,price,surface,price_per_square_meter
75020,258,1106.29457364341,42.6150387596899,28.3547148972107
75019,189,1110.51322751323,41.8604761904762,28.8306983327021
75018,517,1159.17021276596,39.3823404255319,31.4716741145086
75017,793,1945.26860025221,64.1299873896595,32.8726258505854
75016,1570,2822.78343949045,86.5848598726115,33.4638912932077
75015,1032,1525.3992248062,52.3169282945737,30.6585914299081
75014,463,1280.28941684665,44.3478401727862,30.5103023679812
75013,341,1264.25219941349,45.5556598240469,29.6306125221881
75012,247,1308.55465587045,52.1226720647774,30.9198021812173
75011,329,1306.4376899696,41.6869300911854,33.8677662202014
75010,205,1400.18536585366,48.417756097561,32.0038025293448
75009,212,1769.1320754717,56.6501886792453,34.9920036835968
75008,684,3272.86695906433,91.9123391812866,38.1627165961051
75007,572,2853.8548951049,75.7166608391608,38.1286168834908
75006,423,2381.86997635934,65.0797635933806,38.3559771982563
75005,326,1789.46932515337,52.6943251533742,35.5896804023564
75004,227,2176.52422907489,56.9828634361234,39.1940463640763
75003,206,1731.88349514563,49.7648058252427,37.5316897820255
75002,134,1528.14925373134,43.5966417910448,37.0135852929496
75001,189,2340.43915343915,63.2099470899471,39.5373876059703
