postal_code,count,price,surface,price_per_square_meter
75020,272,1103.79044117647,42.8054411764706,28.132772384136
75019,201,1100.61691542289,41.4523383084577,28.8291443242273
75018,530,1144.68113207547,39.1724150943396,31.3818955885395
75017,794,1945.26322418136,64.4474055415617,32.6159838790222
75016,1552,2805.51868556701,85.6717654639176,33.5791054372851
75015,1045,1523.72440191388,52.8369282296651,30.3256403548352
75014,448,1283.33035714286,44.5216294642857,30.5205116013212
75013,327,1291.99082568807,46.7284709480122,29.5344366164777
75012,246,1282.5,50.9544715447155,31.0782293360276
75011,352,1305.20454545455,42.2251988636364,33.5388696079819
75010,216,1365.74537037037,47.0410185185185,32.6126202185518
75009,217,1764.46082949309,57.0729953917051,34.1813938825627
75008,664,3295.64156626506,91.6596686746988,38.6589344751252
75007,554,2970.15342960289,78.1120036101083,37.8706698759539
75006,439,2411.45785876993,65.5671753986333,38.4950257221069
75005,297,1840.26262626263,53.8079124579125,35.6811641970619
75004,237,2268.42194092827,59.2231223628692,39.2022481106219
75003,201,1668.82587064677,47.9283084577114,37.5586329557954
75002,126,1630.81746031746,46.5059523809524,36.90196016668
75001,168,2372.20238095238,64.0651785714286,39.4347649764187
